id,rmsd,num_atoms,composition,volume_diff
A-1550,24.228608253711588,24,La6 Li1 Ni2 Rh15,5188.493923461072
A-223,19.01476637615138,8,Nd2 Rh4 Si2,10186.017350288554
A-927,25.11047339246439,8,Nd4 S2 Se2,13732.607991138553
A-475,13.519202073529797,18,Cr2 Eu2 F12 Li2,3843.7614760824094
A-1950,35.63529909801391,18,Bi2 Co2 F12 Li2,10654.588797690925
A-625,18.48109825916525,8,Nd2 Pr2 S4,2483.9436285431234
A-1971,19.862001031487736,10,Al1 Eu1 Nb1 O6 Sr1,6852.558697018055
A-1081,21.842768359403085,14,As4 Eu2 Ni8,8283.0905247829
A-1526,28.519573119568573,10,Eu1 Gd1 Nd1 O6 Zr1,8219.33457701954
A-933,31.007997442761184,24,Cs8 Ho4 Na4 Sb8,13904.237109941925
A-1346,24.974806479025347,28,B4 F4 O16 S4,11273.16352543927
A-391,15.177997533155034,20,Ca2 F12 Rb4 Yb2,8768.66793923299
A-977,25.276570017413604,16,Hg10 Nd4 Sm2,22748.44170404374
A-196,20.166940957920954,18,In4 Pt6 Tb8,4962.595481352592
A-1865,16.149047675434204,7,Cu1 Ga2 Se4,6459.339736235801
A-319,11.752090246811797,6,Ag2 Al2 Dy2,2737.724373406623
A-1621,26.41445204669501,8,Hf2 Mo1 Tc4 U1,4398.550380809273
A-1239,25.179632404227405,9,Au2 Li5 Sn2,5470.998375391997
A-1237,8.904595510935447,7,Mn2 Se4 Ti1,823.9371284535205
A-916,11.220891769322261,16,F12 Rb2 W2,47.46426766653957
A-1557,25.743863615681754,6,Cr1 Se4 Ti1,8658.292008628729
A-1271,9.00724273863078,6,Eu1 O4 U1,944.275706702254
A-295,20.592248236724583,18,Ho10 P2 Pb4 Tl2,7960.58822850684
A-1617,17.53692780484538,12,Ce4 Ge4 Pt2 Zn2,2567.235062155213
A-893,15.51150061015583,20,Ba4 Bi2 O12 Y2,1416.9936686440592
A-327,16.012714979415733,18,Hf4 Sb2 Sn4 Zn2 Zr6,9722.978061360702
A-525,10.308165701571008,20,Cl12 Rb4 Sr4,7512.2060277940545
A-289,27.94858033263238,11,Ag3 F7 Pd1,4419.502350375609
A-1837,31.70065678907142,5,Ag1 Ba1 Ge3,25538.566050782683
A-1648,14.872896584174132,10,Cd1 Mg1 O6 Ti2,9171.707302461193
A-1373,22.84086919421586,12,Ce2 Ge4 Ho2 Pt4,11278.74810075863
A-1062,13.307116855410612,9,Ag2 F6 V1,741.2796412090772
A-722,18.31140339430922,6,Mg1 Ni2 Sc1 Zn2,4734.889178517731
A-1999,35.640190375850935,14,Ce4 S8 Th2,11243.725231774135
A-212,10.324947935900735,20,Ca2 O12 Sb2 Sc2 Sr2,167.210692189721
A-809,13.488748249392588,20,Mn2 O12 Sr4 Ta2,9117.912328587849
A-351,19.240974413182283,16,Ca2 Ga4 Pr8 Sn2,11590.202275804686
A-1153,19.402529789687232,5,Ga1 Ge1 Rh2 Sr1,2567.430901252629
A-554,39.51881089324733,16,Bi2 Pd6 S8,23771.241672701515
A-437,18.930473681403367,24,Cs8 Na4 Sb8 Sm1 Y3,10381.552258772388
